Strain Identifier	Strain name	Evolution Experiment?	Parental Strain	Alternative Strain Name	Full Strain Name After Genome Analysis	ENA Accession	Alternative Genome Source	Reference (PMID)	Isolation origin	Year	Phenotype	German BSL level	Notes
NT12484	metL-B	1	NT12001		Escherichia coli metL-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12485	thrA-B	1	NT12001		Escherichia coli thrA-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12486	carA-B	1	NT12001		Escherichia coli carA-B		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12487	gltA-C	1	NT12001		Escherichia coli gltA-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12488	yhhK-C	1	NT12001		Escherichia coli yhhK-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12489	proB-C	1	NT12001		Escherichia coli proB-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12490	glyA-C	1	NT12001		Escherichia coli glyA-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12491	hisH-C	1	NT12001		Escherichia coli hisH-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12492	ilvA-C	1	NT12001		Escherichia coli ilvA-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12493	leuL-C	1	NT12001		Escherichia coli leuL-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12494	serB-C	1	NT12001		Escherichia coli serB-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12495	ppc-C	1	NT12001		Escherichia coli ppc-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12496	ptsI-C	1	NT12001		Escherichia coli ptsI-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12497	metL-C	1	NT12001		Escherichia coli metL-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12498	argB-C	1	NT12001		Escherichia coli argB-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12499	thrA-C	1	NT12001		Escherichia coli thrA-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12500	carA-C	1	NT12001		Escherichia coli carA-C		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12501	gltA-D	1	NT12001		Escherichia coli gltA-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12502	proB-D	1	NT12001		Escherichia coli proB-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12503	glyA-D	1	NT12001		Escherichia coli glyA-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12504	cysB-D	1	NT12001		Escherichia coli cysB-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12505	hisH-D	1	NT12001		Escherichia coli hisH-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12506	tyrA-D	1	NT12001		Escherichia coli tyrA-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12507	ilvE-D	1	NT12001		Escherichia coli ilvE-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12508	fes-D	1	NT12001		Escherichia coli fes-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12509	leuL-D	1	NT12001		Escherichia coli leuL-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12510	serB-D	1	NT12001		Escherichia coli serB-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12511	pabA-D	1	NT12001		Escherichia coli pabA-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12512	ppc-D	1	NT12001		Escherichia coli ppc-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12513	argC-D	1	NT12001		Escherichia coli argC-D			24516157	Evolution experiment	2014	Evolution experiment	1	
NT12514	ptsI-D	1	NT12001		Escherichia coli ptsI-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12515	metL-D	1	NT12001		Escherichia coli metL-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12516	thrA-D	1	NT12001		Escherichia coli thrA-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12517	carA-D	1	NT12001		Escherichia coli carA-D		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12518	gltA-E	1	NT12001		Escherichia coli gltA-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12519	proB-E	1	NT12001		Escherichia coli proB-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12520	glyA-E	1	NT12001		Escherichia coli glyA-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12521	hisH-E	1	NT12001		Escherichia coli hisH-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12522	ilvE-E	1	NT12001		Escherichia coli ilvE-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12523	leuL-E	1	NT12001		Escherichia coli leuL-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12524	serB-E	1	NT12001		Escherichia coli serB-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12525	metR-E	1	NT12001		Escherichia coli metR-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12526	ppc-E	1	NT12001		Escherichia coli ppc-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12527	ptsI-E	1	NT12001		Escherichia coli ptsI-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12528	metL-E	1	NT12001		Escherichia coli metL-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12529	thrA-E	1	NT12001		Escherichia coli thrA-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12530	carA-E	1	NT12001		Escherichia coli carA-E		http://www.pnas.org/content/suppl/2014/02/06/1318797111.DCSupplemental/sd01.txt	24516157	Evolution experiment	2014	Evolution experiment	1	
NT12531	SE11	0		JCM 16574	Escherichia coli SE11	PRJNA59425		18931093	Healthy human feces		Commensal strain	1	
NT12532	SE15	0		JCM 16575	Escherichia coli SE15	PRJDA161939		20008064	Healthy human feces		Commensal strain	1	
NT12533	APEC01	0			Escherichia coli APEC O1	PRJNA58623		16940062			Pathogenic strain	2	APEC
NT12534	NILS 1	0			Escherichia coli NILS 1			25266386	Human feces	2013	Commensal strain	1	
NT12535	NILS 2	0			Escherichia coli NILS 2			25266386	Human feces	2013	Commensal strain	1	
NT12536	NILS 3	0			Escherichia coli NILS 3			25266386	Human feces	2013	Commensal strain	1	
NT12537	NILS 4	0			Escherichia coli NILS 4			25266386	Human feces	2013	Commensal strain	1	
NT12538	NILS 5	0			Escherichia coli NILS 5			25266386	Human feces	2013	Commensal strain	1	
NT12539	NILS 6	0			Escherichia coli NILS 6			25266386	Human feces	2013	Commensal strain	1	
NT12540	NILS 7	0			Escherichia coli NILS 7			25266386	Human feces	2013	Commensal strain	1	
NT12541	NILS 8	0			Escherichia coli NILS 8			25266386	Human feces	2013	Commensal strain	1	
NT12542	NILS 9	0			Escherichia coli NILS 9			25266386	Human feces	2013	Commensal strain	1	
NT12543	NILS 10	0			Escherichia coli NILS 10			25266386	Human feces	2013	Commensal strain	1	
NT12544	NILS 11	0			Escherichia coli NILS 11			25266386	Human feces	2013	Commensal strain	1	
NT12545	NILS 12	0			Escherichia coli NILS 12			25266386	Human feces	2013	Commensal strain	1	
NT12546	NILS 13	0			Escherichia coli NILS 13			25266386	Human feces	2013	Commensal strain	1	
NT12547	NILS 14	0			Escherichia coli NILS 14			25266386	Human feces	2013	Commensal strain	1	
NT12548	NILS 15	0			Escherichia coli NILS 15			25266386	Human feces	2013	Commensal strain	1	
NT12549	NILS 16	0			Escherichia coli NILS 16			25266386	Human blood	2013	Pathogenic strain	2	
NT12550	NILS 17	0			Escherichia coli NILS 17			25266386	Human blood	2013	Pathogenic strain	2	
NT12551	NILS 18	0			Escherichia coli NILS 18			25266386	Human blood	2013	Pathogenic strain	2	
NT12552	NILS 19	0			Escherichia coli NILS 19			25266386	Human blood	2013	Pathogenic strain	2	
NT12553	NILS 20	0			Escherichia coli NILS 20			25266386	Human blood	2013	Pathogenic strain	2	
NT12554	NILS 21	0			Escherichia coli NILS 21			25266386	Human blood	2013	Pathogenic strain	2	
NT12555	NILS 22	0			Escherichia coli NILS 22			25266386	Human blood	2013	Pathogenic strain	2	
NT12556	NILS 23	0			Escherichia coli NILS 23			25266386	Human	2013	Pathogenic strain	2	
NT12557	NILS 24	0			Escherichia coli NILS 24			25266386	Human	2013	Pathogenic strain	2	
NT12558	NILS 25	0			Escherichia coli NILS 25			25266386	Human	2013	Pathogenic strain	2	
NT12559	NILS 26	0			Escherichia coli NILS 26			25266386	Human	2013	Pathogenic strain	2	
NT12560	NILS 27	0			Escherichia coli NILS 27			25266386	Human	2013	Pathogenic strain	2	
NT12561	NILS 28	0			Escherichia coli NILS 28			25266386	Human	2013	Pathogenic strain	2	
NT12562	NILS 29	0			Escherichia coli NILS 29			25266386	Human	2013	Pathogenic strain	2	
NT12563	NILS 30	0			Escherichia coli NILS 30			25266386	Human urine	2013	Pathogenic strain	2	
NT12564	NILS 31	0			Escherichia coli NILS 31			25266386	Human urine	2013	Pathogenic strain	2	
NT12565	NILS 32	0			Escherichia coli NILS 32			25266386	Human urine	2013	Pathogenic strain	2	
NT12566	NILS 33	0			Escherichia coli NILS 33			25266386	Human urine	2013	Pathogenic strain	2	
NT12567	NILS 34	0			Escherichia coli NILS 34			25266386	Human urine	2013	Pathogenic strain	2	
NT12568	NILS 35	0			Escherichia coli NILS 35			25266386	Human urine	2013	Pathogenic strain	2	
NT12569	NILS 36	0			Escherichia coli NILS 36			25266386	Human urine	2013	Pathogenic strain	2	
NT12570	NILS 37	0			Escherichia coli NILS 37			25266386	Human urine	2013	Pathogenic strain	2	
NT12571	NILS 38	0			Escherichia coli NILS 38			25266386	Human urine	2013	Pathogenic strain	2	
NT12572	NILS 39	0			Escherichia coli NILS 39			25266386	Human urine	2013	Pathogenic strain	2	
NT12573	NILS 40	0			Escherichia coli NILS 40			25266386	Human urine	2013	Pathogenic strain	2	
NT12574	NILS 41	0			Escherichia coli NILS 41			25266386	Human urine	2013	Pathogenic strain	2	
NT12575	NILS 42	0			Escherichia coli NILS 42			25266386	Human urine	2013	Pathogenic strain	2	
NT12576	NILS 43	0			Escherichia coli NILS 43			25266386	Human urine	2013	Pathogenic strain	2	
NT12577	NILS 44	0			Escherichia coli NILS 44			25266386	Human urine	2013	Pathogenic strain	2	
NT12578	NILS 45	0			Escherichia coli NILS 45			25266386	Human urine	2013	Pathogenic strain	2	
NT12579	NILS 46	0			Escherichia coli NILS 46			25266386	Human urine	2013	Pathogenic strain	2	
NT12580	NILS 47	0			Escherichia coli NILS 47			25266386	Human urine	2013	Pathogenic strain	2	
NT12581	NILS 48	0			Escherichia coli NILS 48			25266386	Human urine	2013	Pathogenic strain	2	
NT12582	NILS 49	0			Escherichia coli NILS 49			25266386	Human urine	2013	Pathogenic strain	2	
NT12583	NILS 50	0			Escherichia coli NILS 50			25266386	Human urine	2013	Pathogenic strain	2	
NT12584	NILS 51	0			Escherichia coli NILS 51			25266386	Human urine	2013	Pathogenic strain	2	
NT12585	NILS 52	0			Escherichia coli NILS 52			25266386	Human urine	2013	Pathogenic strain	2	
NT12586	NILS 53	0			Escherichia coli NILS 53			25266386	Human urine	2013	Pathogenic strain	2	
NT12587	NILS 54	0			Escherichia coli NILS 54			25266386	Human urine	2013	Pathogenic strain	2	
NT12588	NILS 55	0			Escherichia coli NILS 55			25266386	Human urine	2013	Pathogenic strain	2	
NT12589	NILS 56	0			Escherichia coli NILS 56			25266386	Human urine	2013	Pathogenic strain	2	
NT12590	NILS 57	0			Escherichia coli NILS 57			25266386	Human urine	2013	Pathogenic strain	2	
NT12591	NILS 58	0			Escherichia coli NILS 58			25266386	Human urine	2013	Pathogenic strain	2	
NT12592	NILS 59	0			Escherichia coli NILS 59			25266386	Human urine	2013	Pathogenic strain	2	
NT12593	NILS 60	0			Escherichia coli NILS 60			25266386	Human urine	2013	Pathogenic strain	2	
NT12594	NILS 61	0			Escherichia coli NILS 61			25266386	Human urine	2013	Pathogenic strain	2	
NT12595	NILS 62	0			Escherichia coli NILS 62			25266386	Human urine	2013	Pathogenic strain	2	
NT12596	NILS 63	0			Escherichia coli NILS 63			25266386	Human urine	2013	Pathogenic strain	2	
NT12597	NILS 64	0			Escherichia coli NILS 64			25266386	Human urine	2013	Pathogenic strain	2	
NT12598	NILS 65	0			Escherichia coli NILS 65			25266386	Human urine	2013	Pathogenic strain	2	
NT12599	NILS 66	0			Escherichia coli NILS 66			25266386	Human urine	2013	Pathogenic strain	2	
NT12600	NILS 67	0			Escherichia coli NILS 67			25266386	Human urine	2013	Pathogenic strain	2	
NT12601	NILS 68	0			Escherichia coli NILS 68			25266386	Human urine	2013	Pathogenic strain	2	
NT12602	NILS 69	0			Escherichia coli NILS 69			25266386	Human urine	2013	Pathogenic strain	2	
NT12603	NILS 70	0			Escherichia coli NILS 70			25266386	Human urine	2013	Pathogenic strain	2	
NT12604	NILS 71	0			Escherichia coli NILS 71			25266386	Human urine	2013	Pathogenic strain	2	
NT12605	NILS 72	0			Escherichia coli NILS 72			25266386	Human urine	2013	Pathogenic strain	2	
NT12606	NILS 73	0			Escherichia coli NILS 73			25266386	Human urine	2013	Pathogenic strain	2	
NT12607	NILS 74	0			Escherichia coli NILS 74			25266386	Human urine	2013	Pathogenic strain	2	
NT12608	NILS 75	0			Escherichia coli NILS 75			25266386	Human urine	2013	Pathogenic strain	2	
NT12609	NILS 76	0			Escherichia coli NILS 76			25266386	Human urine	2013	Pathogenic strain	2	
NT12610	NILS 77	0			Escherichia coli NILS 77			25266386	Human urine	2013	Pathogenic strain	2	
NT12611	NILS 78	0			Escherichia coli NILS 78			25266386	Human urine	2013	Pathogenic strain	2	
NT12612	NILS 79	0			Escherichia coli NILS 79			25266386	Human urine	2013	Pathogenic strain	2	
NT12613	NILS 80	0			Escherichia coli NILS 80			25266386	Human urine	2013	Pathogenic strain	2	
NT12614	NILS 81	0			Escherichia coli NILS 81			25266386	Human urine	2013	Pathogenic strain	2	
NT12615	NILS 82	0			Escherichia coli NILS 82			25266386	Human urine	2013	Pathogenic strain	2	
NT12616	SCI-07	0			Escherichia coli SCI-07	PRJNA180387		22582380	Hen with swollen head syndrome, Brasil	2012	Pathogenic strain	2	APEC
NT12617	O08	0			Escherichia coli O08	PRJNA189394		23516222	Yolk of the abdomen of a diseased 1-day-old chick, Brasil	2013	Pathogenic strain	2	APEC
NT12618	SEPT362	0			Escherichia coli SEPT362	PRJNA189393		23516222	Hen with clinical signs of septicemia, Brasil	2013	Pathogenic strain	2	APEC
NT12619	S17	0			Escherichia coli S17	PRJNA189395		23516222	Broiler chick with septicemia	2013	Pathogenic strain	2	APEC
NT12620	762B	1	NT12704		Escherichia coli NT12620	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12621	762C	1	NT12704		Escherichia coli NT12621	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12622	763A	1	NT12704		Escherichia coli NT12622	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12623	763B	1	NT12704		Escherichia coli NT12623	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12624	764A	1	NT12704		Escherichia coli NT12624	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12625	764B	1	NT12704		Escherichia coli NT12625	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12626	765A	1	NT12704		Escherichia coli NT12626	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12627	765B	1	NT12704		Escherichia coli NT12627	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12628	766A	1	NT12704		Escherichia coli NT12628	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12629	766B	1	NT12704		Escherichia coli NT12629	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12630	767A	1	NT12704		Escherichia coli NT12630	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12631	767B	1	NT12704		Escherichia coli NT12631	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12632	768A	1	NT12705		Escherichia coli NT12632	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12633	768B	1	NT12705		Escherichia coli NT12633	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12634	769A	1	NT12705		Escherichia coli NT12634	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12635	769B	1	NT12705		Escherichia coli NT12635	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12636	770A	1	NT12705		Escherichia coli NT12636	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12637	770B	1	NT12705		Escherichia coli NT12637	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12638	771A	1	NT12705		Escherichia coli NT12638	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12639	771B	1	NT12705		Escherichia coli NT12639	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12640	772A	1	NT12705		Escherichia coli NT12640	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12641	772B	1	NT12705		Escherichia coli NT12641	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12642	773A	1	NT12705		Escherichia coli NT12642	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12643	773B	1	NT12705		Escherichia coli NT12643	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12644	964A	1	NT12704			PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12645	964B	1	NT12704		Escherichia coli NT12645	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12646	965A	1	NT12704		Escherichia coli NT12646	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12647	965B	1	NT12704		Escherichia coli NT12647	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12648	966A	1	NT12704		Escherichia coli NT12648	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12649	966B	1	NT12704		Escherichia coli NT12649	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12650	967A	1	NT12704		Escherichia coli NT12650	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12651	967B	1	NT12704		Escherichia coli NT12651	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12652	968A	1	NT12704		Escherichia coli NT12652	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12653	968B	1	NT12704		Escherichia coli NT12653	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12654	969A	1	NT12704		Escherichia coli NT12654	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12655	969B	1	NT12704		Escherichia coli NT12655	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12656	958A	1	NT12705		Escherichia coli NT12656	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12657	958B	1	NT12705		Escherichia coli NT12657	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12658	959A	1	NT12705		Escherichia coli NT12658	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12659	959B	1	NT12705		Escherichia coli NT12659	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12660	960A	1	NT12705		Escherichia coli NT12660	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12661	960B	1	NT12705		Escherichia coli NT12661	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12662	961A	1	NT12705		Escherichia coli NT12662	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12663	961B	1	NT12705		Escherichia coli NT12663	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12664	962A	1	NT12705		Escherichia coli NT12664	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12665	962B	1	NT12705		Escherichia coli NT12665	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12666	963A	1	NT12705		Escherichia coli NT12666	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12667	963B	1	NT12705		Escherichia coli NT12667	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12668	1068B	1	NT12704		Escherichia coli NT12668	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12669	1068C	1	NT12704		Escherichia coli NT12669	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12670	1069A	1	NT12704		Escherichia coli NT12670	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12671	1069B	1	NT12704		Escherichia coli NT12671	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12672	1070A	1	NT12704		Escherichia coli NT12672	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12673	1070B	1	NT12704		Escherichia coli NT12673	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12674	1071A	1	NT12704		Escherichia coli NT12674	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12675	1071B	1	NT12704		Escherichia coli NT12675	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12676	1072A	1	NT12704		Escherichia coli NT12676	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12677	1072B	1	NT12704		Escherichia coli NT12677	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12678	1073A	1	NT12704		Escherichia coli NT12678	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12679	1073B	1	NT12704		Escherichia coli NT12679	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
